2024-05-05 13:10:31,100 - root - Ep. Num.: 120, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:10:38,441 - root - Ep. Num.: 121, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:10:47,256 - root - Ep. Num.: 122, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:11:13,333 - root - Ep. Num.: 123, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:12:51,777 - root - Ep. Num.: 124, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:13:00,305 - root - Ep. Num.: 125, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:13:17,686 - root - Ep. Num.: 126, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:13:53,016 - root - Ep. Num.: 127, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:14:15,044 - root - Ep. Num.: 128, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:14:35,187 - root - Ep. Num.: 129, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:14:45,839 - root - Ep. Num.: 130, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:15:00,258 - root - Ep. Num.: 131, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:15:10,425 - root - Ep. Num.: 132, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:15:20,739 - root - Ep. Num.: 133, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:15:27,845 - root - Ep. Num.: 134, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:15:34,911 - root - Ep. Num.: 135, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:16:23,854 - root - Ep. Num.: 136, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:16:50,462 - root - Ep. Num.: 137, Ep. Score: -24.0, Avg. Score: -24.0
2024-05-05 13:19:09,444 - root - Ep. Num.: 138, Ep. Score: -19.0, Avg. Score: -23.5
2024-05-05 13:19:19,241 - root - Ep. Num.: 139, Ep. Score: -24.0, Avg. Score: -23.5
